AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2019-03-01,27.4,S/D,92.9,1.5
2019-03-02,32.4,S/D,85.5,0.0
2019-03-03,30.2,S/D,88.7,1.1
2019-03-04,32.2,S/D,84.8,0.0
2019-03-05,30,S/D,88.2,4.0
2019-03-06,30.2,S/D,85.8,0.0
2019-03-07,29.5,S/D,86.4,1.2
2019-03-08,28.8,S/D,89.3,5.3
2019-03-09,32.5,S/D,85.7,2.2
2019-03-10,27.5,S/D,94.0,3.0
2019-03-11,30.2,S/D,84.6,1.5
2019-03-12,33,S/D,85.6,0.0
2019-03-13,27.5,S/D,91.1,4.2
2019-03-14,28,S/D,89.7,4.4
2019-03-15,30.4,S/D,87.2,6.8
2019-03-16,31.5,S/D,86.1,0.0
2019-03-17,29,S/D,87.6,6.4
2019-03-18,29.2,S/D,88.3,0.0
2019-03-19,31,S/D,87.6,7.2
2019-03-20,31,S/D,89.6,0.0
2019-03-21,29.2,S/D,89.8,14.1
2019-03-22,29.8,S/D,87.8,20.3
2019-03-23,30.5,S/D,87.8,2.2
2019-03-24,28,S/D,S/D,8.6
2019-03-25,30.4,S/D,85.6,10.9
2019-03-26,31,S/D,87.5,5.0
2019-03-27,30.5,S/D,91.8,4.0
2019-03-28,31.8,S/D,92.1,27.0
2019-03-29,30.7,S/D,85.8,3.5
2019-03-30,31.2,S/D,85.1,0.0
2019-03-31,31.7,S/D,84.6,2.2
