AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2023-02-01,S/D,S/D,S/D,S/D
2023-02-02,S/D,S/D,S/D,S/D
2023-02-03,S/D,S/D,S/D,S/D
2023-02-04,S/D,S/D,S/D,S/D
2023-02-05,S/D,S/D,S/D,S/D
2023-02-06,S/D,S/D,S/D,S/D
2023-02-07,S/D,S/D,S/D,S/D
2023-02-08,S/D,S/D,S/D,S/D
2023-02-09,S/D,S/D,S/D,S/D
2023-02-10,S/D,S/D,S/D,S/D
2023-02-11,S/D,S/D,S/D,S/D
2023-02-12,S/D,S/D,S/D,S/D
2023-02-13,S/D,S/D,S/D,S/D
2023-02-14,S/D,S/D,S/D,S/D
2023-02-15,S/D,S/D,S/D,S/D
2023-02-16,S/D,S/D,S/D,S/D
2023-02-17,S/D,S/D,S/D,S/D
2023-02-18,S/D,S/D,S/D,S/D
2023-02-19,S/D,S/D,S/D,S/D
2023-02-20,S/D,S/D,S/D,S/D
2023-02-21,S/D,S/D,S/D,S/D
2023-02-22,S/D,S/D,S/D,S/D
2023-02-23,S/D,S/D,S/D,S/D
2023-02-24,S/D,S/D,S/D,S/D
2023-02-25,S/D,S/D,S/D,S/D
2023-02-26,S/D,S/D,S/D,S/D
2023-02-27,S/D,S/D,S/D,S/D
2023-02-28,S/D,S/D,S/D,S/D
