Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : MALINOWSKY
,Departamento :,MADRE DE DIOS,Provincia :,TAMBOPATA,Distrito :,INAMBARI
,Latitud :,12°56'2.8'',Longitud :,69°31'3'',Altitud :,220 msnm.
,Tipo :,EMA - Meteorológica,Código :,47E8336C
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2019/11/01,00:00,24.4,0.0,93,217,0.0
2019/11/01,01:00,24.3,0.0,94,357,0.1
2019/11/01,02:00,24.1,0.0,95,292,0.0
2019/11/01,03:00,23.7,0.0,96,5,0.1
2019/11/01,04:00,23.8,0.0,96,224,0.2
2019/11/01,05:00,23.8,10.6,96,4,0.5
2019/11/01,06:00,23.5,0.4,98,334,0.1
2019/11/01,07:00,23.5,0.0,98,338,0.0
2019/11/01,08:00,23.5,0.2,98,21,0.1
2019/11/01,09:00,23.5,0.4,98,55,0.1
2019/11/01,10:00,23.6,0.0,97,308,0.0
2019/11/01,11:00,24.6,0.0,94,61,0.3
2019/11/01,12:00,26.3,0.0,85,27,0.3
2019/11/01,13:00,27.4,0.0,81,335,0.4
2019/11/01,14:00,27.8,0.0,77,58,0.6
2019/11/01,15:00,27.9,0.0,77,68,0.7
2019/11/01,16:00,28.2,0.0,76,68,0.8
2019/11/01,17:00,27.4,0.0,80,95,0.1
2019/11/01,18:00,26.3,0.0,87,47,0.1
2019/11/01,19:00,25.0,0.0,93,9,0.0
2019/11/01,20:00,24.1,0.0,95,148,0.0
2019/11/01,21:00,23.5,0.0,96,34,0.0
2019/11/01,22:00,23.1,0.0,97,316,0.0
2019/11/01,23:00,22.8,0.0,97,51,0.1
2019/11/02,00:00,22.6,0.0,97,269,0.0
2019/11/02,01:00,22.6,0.0,97,257,0.0
2019/11/02,02:00,22.5,0.0,98,45,0.0
2019/11/02,03:00,22.7,0.0,97,351,0.0
2019/11/02,04:00,22.8,0.0,97,70,0.2
2019/11/02,05:00,22.7,0.0,97,55,0.4
2019/11/02,06:00,22.5,0.0,97,329,0.1
2019/11/02,07:00,22.7,0.0,97,265,0.1
2019/11/02,08:00,23.5,0.0,95,104,0.1
2019/11/02,09:00,24.9,0.0,89,152,0.3
2019/11/02,10:00,26.9,0.0,83,201,0.5
2019/11/02,11:00,28.9,0.0,77,82,0.3
2019/11/02,12:00,30.5,0.0,71,43,0.8
2019/11/02,13:00,31.3,0.0,71,124,0.4
2019/11/02,14:00,31.5,0.0,71,62,0.5
2019/11/02,15:00,32.9,0.0,64,77,0.6
2019/11/02,16:00,33.2,0.0,62,305,0.3
2019/11/02,17:00,31.6,0.0,65,19,0.1
2019/11/02,18:00,29.4,0.0,78,17,0.0
2019/11/02,19:00,27.4,0.0,87,40,0.0
2019/11/02,20:00,26.0,0.0,92,39,0.0
2019/11/02,21:00,25.7,0.0,95,60,0.0
2019/11/02,22:00,25.8,0.0,95,52,0.0
2019/11/02,23:00,25.4,0.0,96,74,0.0
2019/11/03,00:00,25.3,0.0,95,81,0.7
2019/11/03,01:00,24.8,0.0,93,86,0.7
2019/11/03,02:00,24.7,0.0,92,82,0.3
2019/11/03,03:00,24.4,0.0,93,24,0.2
2019/11/03,04:00,24.0,0.0,95,13,0.0
2019/11/03,05:00,23.9,0.0,96,71,0.1
2019/11/03,06:00,23.8,0.0,97,305,0.1
2019/11/03,07:00,24.2,0.0,95,359,0.0
2019/11/03,08:00,25.4,0.0,90,315,0.2
2019/11/03,09:00,26.4,0.0,86,158,0.1
2019/11/03,10:00,28.5,0.0,77,298,0.7
2019/11/03,11:00,30.8,0.0,69,9,0.5
2019/11/03,12:00,31.6,0.0,68,162,0.6
2019/11/03,13:00,32.3,0.0,67,103,0.2
2019/11/03,14:00,32.8,0.0,65,259,0.5
2019/11/03,15:00,34.1,0.0,62,307,0.5
2019/11/03,16:00,34.0,0.0,63,227,0.1
2019/11/03,17:00,32.1,0.0,66,239,0.2
2019/11/03,18:00,30.2,0.0,76,28,0.0
2019/11/03,19:00,28.0,0.0,84,68,0.3
2019/11/03,20:00,26.6,0.0,90,6,0.0
2019/11/03,21:00,25.8,0.0,93,4,0.2
2019/11/03,22:00,25.5,0.0,94,44,0.0
2019/11/03,23:00,25.6,0.0,94,30,0.1
2019/11/04,00:00,25.6,4.0,93,294,0.2
2019/11/04,01:00,24.7,1.0,97,357,0.0
2019/11/04,02:00,24.5,0.2,98,184,0.0
2019/11/04,03:00,24.4,0.0,98,47,0.0
2019/11/04,04:00,24.3,0.0,98,41,0.1
2019/11/04,05:00,24.2,0.0,98,32,0.0
2019/11/04,06:00,24.2,0.0,98,11,0.0
2019/11/04,07:00,24.2,0.0,97,302,0.0
2019/11/04,08:00,24.7,0.0,97,333,0.0
2019/11/04,09:00,25.5,0.0,94,316,0.2
2019/11/04,10:00,27.4,0.0,86,97,0.4
2019/11/04,11:00,29.3,0.0,81,257,0.7
2019/11/04,12:00,28.2,3.8,84,51,0.7
2019/11/04,13:00,24.4,12.0,97,98,0.2
2019/11/04,14:00,24.9,0.0,97,53,0.1
2019/11/04,15:00,26.4,0.0,94,296,0.1
2019/11/04,16:00,27.5,0.0,89,47,0.0
2019/11/04,17:00,28.1,0.0,86,203,0.0
2019/11/04,18:00,26.7,0.0,91,360,0.0
2019/11/04,19:00,25.6,0.0,96,316,0.0
2019/11/04,20:00,25.0,0.0,97,6,0.1
2019/11/04,21:00,24.5,0.0,97,9,0.0
2019/11/04,22:00,24.2,0.0,98,359,0.0
2019/11/04,23:00,24.0,0.0,98,353,0.1
2019/11/05,00:00,24.0,0.0,98,357,0.1
2019/11/05,01:00,24.0,0.0,98,346,0.0
2019/11/05,02:00,24.1,0.0,98,359,0.0
2019/11/05,03:00,23.9,0.0,98,10,0.0
2019/11/05,04:00,23.7,0.0,98,17,0.0
2019/11/05,05:00,23.5,0.0,98,294,0.0
2019/11/05,06:00,23.4,0.0,98,349,0.0
2019/11/05,07:00,23.5,0.0,98,306,0.0
2019/11/05,08:00,24.8,0.0,96,108,0.2
2019/11/05,09:00,26.5,0.0,90,349,0.2
2019/11/05,10:00,28.0,0.0,84,104,0.4
2019/11/05,11:00,29.9,0.0,77,32,0.4
2019/11/05,12:00,31.1,0.0,73,318,0.4
2019/11/05,13:00,32.8,0.0,67,269,0.4
2019/11/05,14:00,32.1,0.0,67,80,1.3
2019/11/05,15:00,29.3,0.0,78,343,0.1
2019/11/05,16:00,29.4,0.0,78,315,0.1
2019/11/05,17:00,29.5,0.0,79,322,0.3
2019/11/05,18:00,28.8,0.0,82,27,0.0
2019/11/05,19:00,27.2,0.0,89,90,0.0
2019/11/05,20:00,25.8,0.0,94,56,0.3
2019/11/05,21:00,25.4,0.0,95,78,0.0
2019/11/05,22:00,25.0,0.0,96,17,0.0
2019/11/05,23:00,24.8,0.0,96,11,0.0
2019/11/06,00:00,24.4,0.0,96,286,0.2
2019/11/06,01:00,23.9,0.0,97,6,0.0
2019/11/06,02:00,23.7,0.0,97,15,0.0
2019/11/06,03:00,23.6,0.0,97,327,0.0
2019/11/06,04:00,23.6,0.0,97,42,0.0
2019/11/06,05:00,23.5,0.0,97,331,0.0
2019/11/06,06:00,23.4,0.0,97,324,0.0
2019/11/06,07:00,23.6,0.0,97,14,0.1
2019/11/06,08:00,24.2,0.0,96,43,0.0
2019/11/06,09:00,25.9,0.0,90,232,0.2
2019/11/06,10:00,27.7,0.0,84,81,0.6
2019/11/06,11:00,30.0,0.0,78,45,0.5
2019/11/06,12:00,31.4,0.0,71,13,0.4
2019/11/06,13:00,33.5,0.0,64,319,0.6
2019/11/06,14:00,33.7,0.0,62,5,0.6
2019/11/06,15:00,34.3,0.0,58,309,0.5
2019/11/06,16:00,33.9,0.0,58,29,0.4
2019/11/06,17:00,32.1,0.0,65,55,0.3
2019/11/06,18:00,30.2,0.0,76,15,0.0
2019/11/06,19:00,27.8,0.0,85,25,0.0
2019/11/06,20:00,26.4,0.0,92,7,0.0
2019/11/06,21:00,25.8,0.0,94,38,0.1
2019/11/06,22:00,25.3,0.0,95,22,0.0
2019/11/06,23:00,25.0,0.0,96,59,0.2
2019/11/07,00:00,24.8,0.0,96,104,0.0
2019/11/07,01:00,24.6,0.0,97,322,0.0
2019/11/07,02:00,24.4,0.0,97,10,0.0
2019/11/07,03:00,24.3,0.0,97,33,0.1
2019/11/07,04:00,24.2,0.0,97,335,0.0
2019/11/07,05:00,24.1,0.0,96,43,0.3
2019/11/07,06:00,24.0,0.0,96,48,0.4
2019/11/07,07:00,23.4,26.2,97,21,0.3
2019/11/07,08:00,22.8,6.8,99,356,0.0
2019/11/07,09:00,23.0,4.6,99,229,0.0
2019/11/07,10:00,23.1,4.2,99,310,0.0
2019/11/07,11:00,24.2,0.2,98,24,0.2
2019/11/07,12:00,24.0,0.8,97,324,0.0
2019/11/07,13:00,24.2,0.6,97,211,0.0
2019/11/07,14:00,25.6,0.2,95,38,0.4
2019/11/07,15:00,26.7,0.0,89,55,0.3
2019/11/07,16:00,27.4,0.0,87,78,0.5
2019/11/07,17:00,27.6,0.0,87,325,0.2
2019/11/07,18:00,26.9,0.0,90,60,0.1
2019/11/07,19:00,25.7,0.0,95,347,0.0
2019/11/07,20:00,24.9,0.0,97,46,0.0
2019/11/07,21:00,24.5,0.0,97,355,0.0
2019/11/07,22:00,24.1,0.0,98,11,0.0
2019/11/07,23:00,23.7,0.0,98,283,0.0
2019/11/08,00:00,23.4,0.0,98,340,0.0
2019/11/08,01:00,23.2,0.0,98,322,0.0
2019/11/08,02:00,23.0,0.0,98,334,0.0
2019/11/08,03:00,22.8,0.0,98,23,0.1
2019/11/08,04:00,22.9,0.0,98,311,0.0
2019/11/08,05:00,22.8,0.0,98,360,0.0
2019/11/08,06:00,22.9,0.0,98,202,0.0
2019/11/08,07:00,23.1,0.0,98,147,0.0
2019/11/08,08:00,23.5,0.0,97,37,0.2
2019/11/08,09:00,24.5,0.0,95,172,0.2
2019/11/08,10:00,26.6,0.0,88,265,0.2
2019/11/08,11:00,28.9,0.0,79,222,0.1
2019/11/08,12:00,29.0,0.0,79,238,0.5
2019/11/08,13:00,30.9,0.0,73,355,0.4
2019/11/08,14:00,31.9,0.0,69,148,0.8
2019/11/08,15:00,32.8,0.0,64,201,0.4
2019/11/08,16:00,32.4,0.0,64,237,0.2
2019/11/08,17:00,30.6,0.0,73,47,0.1
2019/11/08,18:00,28.4,0.0,84,12,0.0
2019/11/08,19:00,26.5,0.0,90,61,0.0
2019/11/08,20:00,25.5,0.0,94,29,0.0
2019/11/08,21:00,25.0,0.0,96,323,0.0
2019/11/08,22:00,24.6,0.0,97,37,0.0
2019/11/08,23:00,24.3,0.0,97,360,0.0
2019/11/09,00:00,23.9,0.0,97,46,0.1
2019/11/09,01:00,23.6,0.0,97,321,0.0
2019/11/09,02:00,23.4,0.0,97,2,0.0
2019/11/09,03:00,23.3,0.0,98,360,0.0
2019/11/09,04:00,23.1,0.0,98,357,0.0
2019/11/09,05:00,23.1,0.0,98,353,0.0
2019/11/09,06:00,23.1,0.0,98,20,0.0
2019/11/09,07:00,23.3,0.0,98,306,0.0
2019/11/09,08:00,24.5,0.0,97,313,0.0
2019/11/09,09:00,26.6,0.0,90,274,0.2
2019/11/09,10:00,28.9,0.0,82,206,0.2
2019/11/09,11:00,31.1,0.0,74,277,0.2
2019/11/09,12:00,32.6,0.0,69,252,0.5
2019/11/09,13:00,33.4,0.0,66,207,0.4
2019/11/09,14:00,33.3,0.0,67,338,0.3
