AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2025-11-01,S/D,23,91.0,0.0
2025-11-02,S/D,24,96.1,0.0
2025-11-03,S/D,23.6,95.2,0.0
2025-11-04,S/D,23,89.8,0.0
2025-11-05,S/D,22.9,91.1,0.0
2025-11-06,S/D,22.4,94.1,0.0
2025-11-07,S/D,23,87.0,0.0
2025-11-08,S/D,23.1,88.0,0.0
2025-11-09,S/D,22.3,94.2,14.0
2025-11-10,S/D,23,91.0,10.8
2025-11-11,S/D,22.5,95.5,0.0
2025-11-12,S/D,22.4,95.1,0.0
2025-11-13,S/D,23,95.7,4.4
2025-11-14,S/D,22.6,95.0,33.4
2025-11-15,S/D,23.4,93.2,13.3
2025-11-16,S/D,23,94.1,0.0
2025-11-17,S/D,22.8,89.6,3.3
2025-11-18,S/D,23.2,90.4,7.1
2025-11-19,S/D,23.1,93.7,0.0
2025-11-20,S/D,24,92.9,0.0
2025-11-21,S/D,22.5,89.8,2.9
2025-11-22,S/D,24,93.7,0.0
2025-11-23,S/D,23.2,90.5,80.4
2025-11-24,S/D,23.1,93.6,2.5
2025-11-25,S/D,23.8,94.2,0.0
2025-11-26,S/D,23,95.4,2.1
2025-11-27,S/D,23.2,96.2,40.0
2025-11-28,S/D,22,93.9,0.0
2025-11-29,S/D,21.4,89.9,0.0
2025-11-30,S/D,22.6,90.1,S/D
